id,fileName,japaneseName,type,description,page,usage
mod_041,components/HubPage.tsx,ダッシュボード,page/tool,"各ツールへのショートカットや、現在のアクティビティ（作業記録、タスク）を表示するトップページです。",hub,""
mod_034,components/ordermanagement/templates/OrderManagementTool.tsx,業務管理ツール,page/template,"案件のステータスをカンバン形式で管理し、業務フロー全体を可視化します。",order-management,""
mod_030,components/aitaskmanagement/templates/AITaskManager.tsx,AIタスク管理ツール,page/template,"AIが提案したタスクやメールに関連するタスクを管理・実行します。",ai-task-management,""
mod_035,components/productionscheduler/templates/ProductionScheduler.tsx,生産スケジューリングツール,page/template,"案件のタスク進捗をガントチャートで可視化・調整し、生産計画を最適化します。",production-scheduler,""
mod_031,components/customermanagement/templates/CustomerManagementTool.tsx,取引先管理ツール,page/template,"顧客・仕入先情報を一元管理し、案件履歴を確認します。",customer-management,""
mod_033,components/emailmanagement/templates/EmailManagementTool.tsx,メール管理ツール,page/template,"メールの送受信、AIによる自動解析、案件との紐付けなどを行います。",email-tool,""
mod_040,components/estimator/EstimatorPage.tsx,見積作成ツール,page/tool,"商品選択、プリント設定、価格計算、PDF出力機能を含む総合的な見積作成ツール。",estimator,""
mod_043,components/proofingtool/templates/ProofingTool.tsx,仕上がりイメージ作成ツール,page/tool,"お客様への提出用の仕上がりイメージを作成・管理します。",proofing,""
mod_044,components/worksheet/templates/WorksheetGenerator.tsx,指示書メーカー,page/tool,"印刷現場向けの作業指示書やお客様への確認書を生成します。",worksheet,""
mod_032,components/document/templates/DocumentManager.tsx,帳票管理ツール,page/template,"作成されたすべての帳票（見積書、請求書など）を管理します。",document-management,""
mod_045,components/receivables/templates/AccountsReceivableTool.tsx,売掛管理ツール,page/tool,"顧客への請求と入金状況を管理します。",accounts-receivable,""
mod_046,src/features/accounts-payable/templates/AccountsPayableTool.tsx,買掛管理ツール,page/tool,"仕入先からの請求と支払状況を管理します。",accounts-payable,""
mod_047,src/features/cash-flow/templates/CashFlowTool.tsx,資金繰り分析ツール,page/tool,"月次のキャッシュフロー（売掛・買掛）を可視化し、経営判断をサポートします。",cash-flow-analysis,""
mod_048,components/taskanalysis/templates/TaskAnalysisTool.tsx,タスク分析ツール,page/tool,"生産工程全体のタスク滞留状況をグラフで可視化し、ボトルネックを特定します。",task-analysis,""
mod_038,components/workrecord/templates/WorkRecordTool.tsx,作業記録ツール,page/template,"音声または手動でタスクの作業時間を記録し、案件に紐付けます。",work-record,""
mod_036,components/productmanagement/templates/ProductManagementTool.tsx,商品データ管理ツール,page/template,"商品マスターデータを一覧（グリッド/リスト）で管理します。",product-management,""
mod_049,components/productdefinition/templates/ProductDefinitionTool.tsx,商品定義管理ツール,page/tool,"商品の基本構成要素（メーカー、ブランド、カラー、印刷箇所等）を一元管理します。",product-definition-tool,""
mod_050,components/pricing-management/templates/PricingManager.tsx,プリント単価表管理ツール,page/tool,"シルクスクリーン印刷の単価マトリクスを「プリント単価表」として管理します。",pricing-manager,""
mod_051,components/pricing-management/templates/PricingAssistant.tsx,価格設定アシスタントツール,page/tool,"ウィザード形式で、複雑な価格設定ルールを簡単に追加・管理します。",pricing-assistant,""
mod_188,components/pricing-management/templates/ShippingLogicTool.tsx,送料計算ロジック管理,page/tool,"送料の計算ロジックを可視化・調整するためのツールです。",shipping-logic-tool,""
mod_052,components/production-settings/templates/ProductionSettingsTool.tsx,生産設定ツール,page/tool,"生産スケジュールの計算に使用する各種パラメータ（生産能力など）を設定します。",production-settings,""
mod_053,components/task-settings/templates/TaskSettingsTool.tsx,タスク設定ツール,page/tool,"業務タスクの内容と、案件に応じた自動生成ルールを管理します。",task-settings,""
mod_037,components/printhistory/templates/PrintHistoryTool.tsx,印刷履歴登録ツール,page/template,"案件ごとの印刷位置や仕上がり写真を記録し、再注文時の品質を担保します。",print-history,""
mod_054,components/ink-mixing/mixing/templates/InkMixingTool.tsx,インク配合管理ツール,page/tool,"特色インクの配合レシピを作成・管理し、Pantone/DIC番号と紐付けます。",ink-mixing,""
mod_1760980081569_sbfwx,components/ink-mixing/management/templates/InkSeriesManager.tsx,インクシリーズ管理,page/tool,"インクのシリーズ、メーカー、カテゴリ、調色スタイルを管理します。",ink-series-management,""
mod_1760980081569_7mfki,components/ink-mixing/management/templates/InkProductManager.tsx,インク製品管理,page/tool,"インクシリーズに属する個別のインクや添加剤を登録・管理します。",ink-product-management,""
mod_055,components/ink-mixing/management/templates/ColorLibraryManager.tsx,カラーライブラリ管理,page/tool,"PANTONE®やDICのカラーデータを管理し、AIで拡充します。",color-library-manager,""
mod_186,components/silkscreen/templates/SilkscreenLogicTool.tsx,シルクスクリーン計算ロジック管理,page/tool,"シルクスクリーン印刷の原価計算ロジックを可視化・調整するためのツールです。",silkscreen-logic-tool,""
