id,fileName,japaneseName,type,description,page,usage
"mod_s_1","components/estimator/services/estimateService.ts","原価計算オーケストレーター","service/cost","商品代、プリント代、送料など、各種コスト計算サービスを束ねて最終的な見積もり金額を算出します。","","`calculateCost`を呼び出します。"
"mod_s_2","components/estimator/services/dtfService.ts","DTF原価計算サービス","service/cost","DTFプリントに特化した詳細な原価計算を行います。","",""
"mod_s_3","components/estimator/services/silkscreenService.ts","シルクスクリーン原価計算サービス","service/cost","シルクスクリーン印刷の版代とプリント代を計算します。","",""
"mod_s_4","components/estimator/services/productService.ts","商品原価計算サービス","service/cost","Tシャツ本体などの商品価格を、価格ルールに基づいて計算します。","",""
"mod_s_5","components/estimator/services/shippingService.ts","送料計算サービス","service/cost","顧客の住所や注文金額に基づいて送料を計算します。","",""
"mod_s_6","components/estimator/services/additionalOptionsService.ts","追加オプション計算サービス","service/cost","袋詰めなどの追加オプション料金を計算します。","",""
"mod_s_7","components/estimator/services/unitPriceService.ts","単価計算サービス","service/cost","工賃単価や販売単価など、最終的な単価を算出するための補助的な計算を行います。","",""
"mod_s_8","services/googleApiService.ts","Google APIサービス","service/core","Google API（Drive, Gmailなど）との認証・通信を処理します。","",""
"mod_s_9","services/idbService.ts","IndexedDBサービス","service/core","ブラウザのIndexedDBへのデータのキャッシュ保存・読み込みを管理します。","",""
"mod_s_10","services/idService.ts","ID採番サービス","service/core","各テーブルのID形式設定に基づいて、新しいIDを自動で採番します。","",""
"mod_s_11","services/workerService.ts","Web Workerサービス","service/worker","重い処理（CSV解析、データフィルタリング）をバックグラウンドで実行するためのインターフェースです。","",""
"mod_s_12","services/appWorker.ts","Web Worker本体","service/worker","バックグラウンドで実際に処理を実行するスクリプトです。","",""
"mod_s_13","services/geminiService.ts","Gemini API 統合サービス","service/ai","アプリケーション内のすべてのAI機能を統括し、Google Gemini APIとの通信を管理します。","",""
"mod_s_14","components/architecture/RefactoringLogic.ts","リファクタリングロジック","service/core","アーキテクチャデザイナーのバックエンドロジック。ファイルの読み込み、パスの再計算、ZIP生成などを行います。","",""
"mod_1760980081569_78laj","data/db.ts","データベースサービス","service","アプリケーションがデータベースとやり取りするための接続、設定、およびデータ操作インターフェースを提供するサービスモジュール。","",""
"mod_1760980081569_7p7da","api/db_connect.php.txt","APIデータベース接続サービス","service","このモジュールは、APIリクエスト処理中にアプリケーションがデータベースに接続するための機能を提供します。データベース接続の確立と管理を行い、データ操作の基盤となります。","",""
"mod_1760980081569_hu2f5","api/app-data.php.txt","アプリケーションデータAPI","service","このモジュールは、アプリケーションが利用する主要なデータを、APIエンドポイントとして外部またはクライアントに提供する役割を担います。データの取得や管理といった操作を処理します。","",""
"mod_1760980081569_z3jfg","api/update-data.php.txt","データ更新APIサービス","service/api","このモジュールは、クライアントからのリクエストを受け取り、システム内のデータを更新するAPIエンドポイントを提供します。データベースやその他のデータストアへの変更処理を担当します。","",""
"mod_1760980081569_jpok9","api/send_mail.php.txt","メール送信サービス","service/","システムからのメール送信要求を受け付け、指定された宛先にメールを送信するAPIエンドポイントです。","",""
"mod_1760980081569_eoyx8","api/update_quote.php.txt","見積更新APIモジュール","service/api_endpoint","このモジュールは、システム内の見積情報を更新するためのAPIエンドポイントを提供します。クライアントからの見積更新リクエストを受け取り、データ検証、ビジネスロジックの適用、およびデータベースへの変更永続化を行います。","",""
"mod_1760980081569_25jpj","components/PrintManager.tsx","印刷管理コンポーネント","service/print","アプリケーション内で印刷関連の機能（印刷ジョブの管理、印刷プレビューの表示、印刷設定の調整など）をカプセル化し、提供するモジュールです。Reactコンポーネントとして、これらの機能をUIを通じて利用可能にします。","",""
"mod_1760980081569_e2idg","templates/plate_costs.csv","プレート原価データ管理","service/data","このモジュールは、テンプレートまたはマスターデータとして利用されるプレート（製品やサービスなどの単位）の原価情報を取り扱います。CSV形式で提供されるこのデータは、原価計算、価格設定、予算策定、またはレポート生成などのシステム機能で利用されることを目的としています。","",""
"mod_1760980081569_xxi8m","templates/special_ink_costs.csv","特殊インク原価管理サービス","service/cost_management","印刷物や製品の製造において、特殊なインクを使用する場合のコスト情報を管理し、見積もりや原価計算に利用するモジュールです。`templates/special_ink_costs.csv`のようなファイルから最新の原価データを読み込み、他のコンポーネントに提供します。","",""
"mod_1760980081569_63obg","templates/additional_print_costs_by_size.csv","印刷追加費用設定（サイズ別）","service","このモジュールは、印刷物のサイズに応じた追加費用を定義するCSV形式のデータを提供します。主に、費用計算や見積もりシステムで使用される設定データとして機能します。","",""
"mod_1760980081569_v05h4","templates/additional_print_costs_by_location.csv","ロケーション別追加印刷費用設定","service/pricing_configuration","拠点ごとに異なる追加印刷費用の設定データを提供します。主に印刷物のコスト計算ロジックで使用されます。","",""
"mod_1760980081569_lim5k","templates/print_pricing_tiers.csv","価格階層印刷用データ定義","service","印刷または表示用の価格階層に関するデータ構造と内容を定義するCSVファイルです。このデータは、価格表やレポートなど、印刷物やデジタルドキュメントを生成するサービスによって利用されます。","",""
